id,pop,city,state,loc
2139,33149,CAMBRIDGE,MA,"['-71.104155', ' 42.364688']"
2140,16313,NORTH CAMBRIDGE,MA,"['-71.129379', ' 42.391366']"
2141,10392,EAST CAMBRIDGE,MA,"['-71.088277', ' 42.370701']"
2142,1336,CAMBRIDGE,MA,"['-71.083011', ' 42.362025']"
2143,25597,SOMERVILLE,MA,"['-71.102814', ' 42.382945']"
2144,26374,SOMERVILLE,MA,"['-71.122059', ' 42.40032']"
2145,24422,SOMERVILLE,MA,"['-71.092944', ' 42.390678']"
2146,56614,BROOKLINE,MA,"['-71.128917', ' 42.339158']"
2148,54114,MALDEN,MA,"['-71.060507', ' 42.42911']"
2149,35493,EVERETT,MA,"['-71.051448', ' 42.411199']"
2150,28790,CHELSEA,MA,"['-71.032521', ' 42.396252']"
2151,42766,REVERE,MA,"['-71.005165', ' 42.413767']"
2152,18907,WINTHROP,MA,"['-70.980043', ' 42.376294']"
2154,57871,NORTH WALTHAM,MA,"['-71.236497', ' 42.382492']"
2155,57338,MEDFORD,MA,"['-71.108686', ' 42.417335']"
2158,13271,NEWTONVILLE,MA,"['-71.1902', ' 42.353835']"
2159,18726,NEWTON CENTER,MA,"['-71.191839', ' 42.318889']"
2160,8872,NEWTONVILLE,MA,"['-71.208771', ' 42.351961']"
2161,6657,NEWTON HIGHLANDS,MA,"['-71.209347', ' 42.318512']"
2162,1427,NEWTONVILLE,MA,"['-71.258025', ' 42.330296']"
2163,0,CAMBRIDGE,MA,"['-71.141879', ' 42.364005']"
2164,2597,NEWTON UPPER FAL,MA,"['-71.221615', ' 42.312562']"
2165,12027,NEWTONVILLE,MA,"['-71.22795', ' 42.352366']"
2166,6123,AUBURNDALE,MA,"['-71.247598', ' 42.345928']"
2167,15619,BOSTON COLLEGE,MA,"['-71.16272', ' 42.31903']"
2168,5759,WABAN,MA,"['-71.230703', ' 42.327049']"
2169,48920,QUINCY,MA,"['-70.997816', ' 42.249133']"
2170,18330,QUINCY,MA,"['-71.018644', ' 42.26713']"
2171,18251,QUINCY,MA,"['-71.024141', ' 42.282519']"
2172,33930,EAST WATERTOWN,MA,"['-71.180266', ' 42.371497']"
2173,28994,LEXINGTON,MA,"['-71.225916', ' 42.445384']"
2174,44539,ARLINGTON,MA,"['-71.162517', ' 42.417098']"
2176,28228,MELROSE,MA,"['-71.063191', ' 42.458066']"
2178,24733,BELMONT,MA,"['-71.174647', ' 42.389656']"
2180,22147,STONEHAM,MA,"['-71.0978', ' 42.482778']"
2181,26615,WELLESLEY,MA,"['-71.287966', ' 42.305593']"
2184,33836,BRAINTREE,MA,"['-70.996304', ' 42.209284']"
2186,25558,MILTON,MA,"['-71.077051', ' 42.253663']"
2188,13187,WEYMOUTH,MA,"['-70.958248', ' 42.211327']"
